timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1784745215305,24,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-232,text,true,,17251,147,147,24
1784745215336,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-242,text,true,,9312,147,147,5
1784745215435,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-266,text,true,,1788,148,148,9
1784745215450,18,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-356,text,true,,17251,148,148,18
1784745215465,14,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-256,text,true,,9312,148,148,14
1784745215464,17,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-236,text,true,,1788,148,148,17
1784745215459,29,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-349,text,true,,17251,148,148,29
1784745215477,17,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-343,text,true,,1788,148,148,17
1784745215486,12,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-273,text,true,,1788,148,148,12
1784745215516,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-292,text,true,,9312,149,149,5
1784745215522,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-329,text,true,,9312,149,149,4
1784745215566,17,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-355,text,true,,17251,149,149,17
1784745215580,9,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-267,text,true,,9312,149,149,9
1784745215584,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-259,text,true,,17251,149,149,16
1784745215600,6,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-308,text,true,,9312,149,149,6
1784745215602,19,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-359,text,true,,17251,150,150,19
1784745215621,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-251,text,true,,1788,150,150,9
1784745215627,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-222,text,true,,9312,150,150,5
1784745215657,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-316,text,true,,9312,149,149,5
1784745215658,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-219,text,true,,1788,149,149,8
1784745215678,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-313,text,true,,9312,149,149,4
1784745215699,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-253,text,true,,9312,149,149,4
1784745215696,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-317,text,true,,17251,149,149,16
1784745215717,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-315,text,true,,9312,149,149,5
1784745215724,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-265,text,true,,9312,149,149,4
1784745215760,6,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-210,text,true,,9312,150,150,6
1784745215758,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-288,text,true,,1788,149,149,10
1784745215760,11,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-252,text,true,,1788,149,149,11
1784745215765,15,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-301,text,true,,17251,149,149,15
1784745215843,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-339,text,true,,1788,149,149,8
1784745215895,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-230,text,true,,1788,150,150,9
1784745215898,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-330,text,true,,1788,150,150,8
1784745215899,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-285,text,true,,1788,150,150,8
1784745215906,7,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-302,text,true,,1788,150,150,7
1784745215917,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-281,text,true,,1788,150,150,8
1784745215917,14,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-314,text,true,,17251,150,150,14
1784745215934,3,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-325,text,true,,9312,150,150,3
1784745215937,7,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-299,text,true,,1788,150,150,7
1784745215941,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-255,text,true,,1788,150,150,8
1784745215939,14,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-249,text,true,,17251,150,150,14
1784745215944,12,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-320,text,true,,9312,150,150,12
1784745215961,3,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-277,text,true,,9312,150,150,3
1784745215991,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-327,text,true,,9312,151,151,5
1784745215992,6,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-321,text,true,,9312,151,151,6
1784745216005,15,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-303,text,true,,17251,151,151,15
1784745216020,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-220,text,true,,9312,151,151,4
1784745216030,6,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-271,text,true,,1788,150,150,6
1784745216035,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-319,text,true,,9312,150,150,5
1784745216051,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-324,text,true,,9312,150,150,4
1784745216063,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-235,text,true,,1788,150,150,8
1784745216080,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-223,text,true,,1788,150,150,8
1784745216091,11,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-239,text,true,,1788,150,150,11
